2026-09-22 09:27:27 | INFO | app.routers.messages | request_id=78f101847fff | privy event=request_start request_id=78f101847fff chat_id=46505ffd-7128-4221-b1ad-f610c7d63b59 question_chars=3 requested_model=gemini-3.5-flash-lite
2026-09-22 09:27:36 | INFO | app.routers.messages | request_id=78f101847fff | privy event=masking_complete request_id=78f101847fff duration_ms=8794 masked_tokens=0
2026-09-22 09:27:38 | INFO | app.routers.messages | request_id=78f101847fff | privy event=provider_selected request_id=78f101847fff provider=gemini model=gemini-3.5-flash-lite duration_ms=0
2026-09-22 09:27:38 | INFO | app.routers.messages | request_id=78f101847fff | privy event=gemini_file_prepare_start request_id=78f101847fff file_count=1 tool_mode=file_search
2026-09-22 09:27:38 | INFO | app.gemini_files | request_id=78f101847fff | privy event=gemini_file_prepare_start request_id=78f101847fff file_id=8d2fc025-ac6f-4246-8496-e60ba6df2fc5 bytes=1113659
2026-09-22 09:27:39 | INFO | app.gemini_files | request_id=78f101847fff | privy event=gemini_file_search_store_check request_id=78f101847fff exists=True status_code=200 duration_ms=1450
2026-09-22 09:27:39 | INFO | app.gemini_files | request_id=78f101847fff | privy event=gemini_file_cache_hit request_id=78f101847fff file_id=8d2fc025-ac6f-4246-8496-e60ba6df2fc5 duration_ms=1471 raw_file_reused=True file_search_store_reused=True
2026-09-22 09:27:39 | INFO | app.routers.messages | request_id=78f101847fff | privy event=gemini_file_prepare_complete request_id=78f101847fff file_count=1 duration_ms=1471
2026-09-22 09:27:39 | INFO | app.gemini_interactions | request_id=78f101847fff | privy event=gemini_interaction_cache_miss request_id=78f101847fff chat_id=46505ffd-7128-4221-b1ad-f610c7d63b59 reason=message_count_mismatch duration_ms=19
2026-09-22 09:27:39 | INFO | app.routers.messages | request_id=78f101847fff | privy event=interaction_state_lookup_complete request_id=78f101847fff reused=False duration_ms=19
2026-09-22 09:27:39 | INFO | app.routers.messages | request_id=78f101847fff | privy event=llm_stream_start request_id=78f101847fff provider=gemini model=gemini-3.5-flash-lite tool_mode=file_search reused_interaction=False
